DATE,T30YIEM
2011-01-01,2.5633333333333333
2011-04-01,2.5600000000000000
2011-07-01,2.4533333333333333
2011-10-01,2.1933333333333333
2012-01-01,2.3633333333333333
2012-04-01,2.2800000000000000
2012-07-01,2.3133333333333333
2012-10-01,2.4966666666666667
2013-01-01,2.5800000000000000
2013-04-01,2.3433333333333333
2013-07-01,2.2933333333333333
2013-10-01,2.2933333333333333
2014-01-01,2.2933333333333333
2014-04-01,2.3033333333333333
2014-07-01,2.2866666666666667
2014-10-01,2.0233333333333333
2015-01-01,1.8466666666666667
2015-04-01,1.9733333333333333
2015-07-01,1.8166666666666667
2015-10-01,1.7200000000000000
2016-01-01,1.6066666666666667
2016-04-01,1.7200000000000000
2016-07-01,1.6566666666666667
2016-10-01,1.9600000000000000
2017-01-01,2.0966666666666667
2017-04-01,1.9566666666666667
2017-07-01,1.8833333333333333
2017-10-01,1.9466666666666667
2018-01-01,2.1066666666666667
2018-04-01,2.1366666666666667
2018-07-01,2.1333333333333333
2018-10-01,2.0333333333333333
2019-01-01,1.9100000000000000
2019-04-01,1.8833333333333333
2019-07-01,1.6933333333333333
2019-10-01,1.7200000000000000
2020-01-01,1.5866666666666667
2020-04-01,1.4666666666666667
2020-07-01,1.6900000000000000
2020-10-01,1.9133333333333333
2021-01-01,2.1566666666666667
2021-04-01,2.2900000000000000
2021-07-01,2.2333333333333333
2021-10-01,2.3333333333333333
2022-01-01,2.3033333333333333
2022-04-01,2.4966666666666667
2022-07-01,2.2600000000000000
2022-10-01,2.3300000000000000
2023-01-01,2.2633333333333333
2023-04-01,2.2400000000000000
2023-07-01,2.3066666666666667
2023-10-01,2.3533333333333333
2024-01-01,2.2566666666666667
